mv_TID4611_START11_SIZE1_FT_0_1_2_CLASS164,mv_TID4598_START3_SIZE1_FT_0_CLASS164,mv_TID4606_START2_SIZE1_FT_0_1_2_CLASS164,mv_TID4628_START3_SIZE1_FT_0_CLASS164,mv_TID4600_START0_SIZE2_FT_0_1_CLASS164,mv_TID4604_START8_SIZE2_FT_0_1_2_CLASS164,mv_TID4611_START9_SIZE1_FT_0_CLASS164,mv_TID4600_START20_SIZE1_FT_0_1_2_5_CLASS164,mv_TID4628_START6_SIZE1_FT_0_6_CLASS164,mv_TID4598_START18_SIZE2_FT_0_1_2_CLASS164,mv_TID4611_START1_SIZE1_FT_0_1_CLASS164,mv_TID4600_START17_SIZE1_FT_0_CLASS164,mv_TID4598_START15_SIZE1_FT_0_CLASS164,mv_TID4600_START12_SIZE1_FT_0_5_CLASS164,mv_TID4600_START6_SIZE2_FT_0_CLASS164,mv_TID4600_START4_SIZE1_FT_0_CLASS164,mv_TID4604_START2_SIZE2_FT_0_1_CLASS164,mv_TID4611_START4_SIZE1_FT_0_1_CLASS164,mv_TID4598_START10_SIZE1_FT_0_CLASS164,mv_TID4598_START7_SIZE1_FT_0_CLASS164,mv_TID4598_START8_SIZE1_FT_0_1_CLASS164,mv_TID4604_START0_SIZE2_FT_0_CLASS164,mv_TID4611_START10_SIZE1_FT_0_1_2_5_CLASS164,mv_TID4621_START8_SIZE1_FT_0_5_CLASS164,mv_TID4604_START7_SIZE1_FT_0_1_2_CLASS164,mv_TID4600_START10_SIZE2_FT_0_CLASS164,mv_TID4621_START0_SIZE1_FT_0_CLASS164,mv_TID4606_START8_SIZE1_FT_0_1_2_6_CLASS164,mv_TID4598_START11_SIZE1_FT_0_CLASS164,mv_TID4611_START6_SIZE1_FT_0_1_CLASS164,mv_TID4598_START0_SIZE1_FT_0_CLASS164,mv_TID4598_START17_SIZE1_FT_0_2_5_CLASS164,mv_TID4621_START12_SIZE1_FT_0_1_2_6_CLASS164,mv_TID4600_START9_SIZE1_FT_0_1_7_CLASS164,mv_TID4598_START16_SIZE1_FT_0_CLASS164,mv_TID4621_START10_SIZE1_FT_0_CLASS164,mv_TID4628_START8_SIZE1_FT_0_2_5_CLASS164,mv_TID4604_START5_SIZE1_FT_0_CLASS164,mv_TID4628_START7_SIZE1_FT_0_1_CLASS164,mv_TID4611_START0_SIZE1_FT_0_CLASS164,mv_TID4606_START10_SIZE1_FT_0_CLASS164,mv_TID4600_START5_SIZE1_FT_0_1_5_CLASS164,mv_TID4611_START5_SIZE1_FT_0_1_CLASS164,mv_TID4598_START6_SIZE1_FT_0_CLASS164,mv_TID4604_START11_SIZE2_FT_0_CLASS164,mv_TID4606_START6_SIZE2_FT_0_1_2_CLASS164,mv_TID4606_START0_SIZE2_FT_0_1_CLASS164,mv_TID4606_START5_SIZE1_FT_0_CLASS164,mv_TID4598_START14_SIZE1_FT_0_1_CLASS164,mv_TID4600_START18_SIZE1_FT_0_CLASS164,mv_TID4604_START6_SIZE1_FT_0_1_2_CLASS164,mv_TID4598_START1_SIZE1_FT_0_CLASS164,mv_TID4598_START9_SIZE1_FT_0_CLASS164,mv_TID4628_START9_SIZE1_FT_0_1_2_CLASS164,mv_TID4600_START13_SIZE1_FT_0_CLASS164,mv_TID4606_START9_SIZE1_FT_0_2_5_CLASS164,mv_TID4628_START0_SIZE1_FT_0_CLASS164,mv_TID4600_START14_SIZE1_FT_0_1_CLASS164,mv_TID4621_START2_SIZE2_FT_0_CLASS164,mv_TID4604_START10_SIZE1_FT_0_2_5_CLASS164,mv_TID4604_START4_SIZE1_FT_0_6_CLASS164,mv_TID4621_START1_SIZE1_FT_0_1_CLASS164,mv_TID4628_START5_SIZE1_FT_0_1_6_CLASS164,mv_TID4606_START3_SIZE2_FT_0_CLASS164,mv_TID4628_START4_SIZE1_FT_0_CLASS164,mv_TID4621_START13_SIZE1_FT_0_1_2_5_CLASS164,mv_TID4600_START19_SIZE1_FT_0_1_2_CLASS164,mv_TID4621_START11_SIZE1_FT_0_1_CLASS164,mv_TID4598_START12_SIZE2_FT_0_CLASS164,mv_TID4598_START5_SIZE1_FT_0_CLASS164,mv_TID4600_START8_SIZE1_FT_0_7_CLASS164,mv_TID4621_START4_SIZE4_FT_0_CLASS164,tid,label
2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2277,"84"
2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2278,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2279,"84"
2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2280,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2281,"84"
2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2283,"84"
2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2284,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2285,"84"
2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2286,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2289,"84"
