mv_TID5071_START4_SIZE1_FT_0_4_CLASS181,mv_TID5069_START5_SIZE1_FT_0_1_4_5_CLASS181,mv_TID5074_START0_SIZE1_FT_0_CLASS181,mv_TID5066_START11_SIZE2_FT_0_4_CLASS181,mv_TID5070_START9_SIZE3_FT_0_4_CLASS181,mv_TID5070_START15_SIZE1_FT_0_1_CLASS181,mv_TID5070_START4_SIZE1_FT_1_4_5_CLASS181,mv_TID5069_START6_SIZE1_FT_0_1_4_CLASS181,mv_TID5070_START14_SIZE1_FT_0_1_CLASS181,mv_TID5063_START4_SIZE1_FT_0_1_CLASS181,mv_TID5071_START23_SIZE2_FT_0_4_CLASS181,mv_TID5074_START23_SIZE2_FT_0_4_CLASS181,mv_TID5071_START16_SIZE1_FT_0_4_CLASS181,mv_TID5074_START4_SIZE5_FT_0_5_CLASS181,mv_TID5062_START10_SIZE1_FT_0_CLASS181,mv_TID5063_START3_SIZE1_FT_0_1_4_5_CLASS181,mv_TID5074_START15_SIZE1_FT_0_CLASS181,mv_TID5067_START11_SIZE1_FT_0_5_CLASS181,mv_TID5063_START14_SIZE1_FT_0_4_5_CLASS181,mv_TID5067_START12_SIZE2_FT_0_CLASS181,mv_TID5074_START13_SIZE1_FT_0_1_CLASS181,mv_TID5063_START13_SIZE1_FT_0_4_CLASS181,mv_TID5071_START22_SIZE1_FT_0_CLASS181,mv_TID5069_START9_SIZE1_FT_0_1_4_5_CLASS181,mv_TID5071_START21_SIZE1_FT_0_5_CLASS181,mv_TID5069_START4_SIZE1_FT_1_5_CLASS181,mv_TID5070_START16_SIZE2_FT_0_5_CLASS181,mv_TID5070_START0_SIZE1_FT_0_1_CLASS181,mv_TID5074_START16_SIZE1_FT_0_CLASS181,mv_TID5071_START18_SIZE2_FT_0_5_CLASS181,mv_TID5067_START14_SIZE4_FT_0_4_CLASS181,mv_TID5074_START3_SIZE1_FT_0_CLASS181,mv_TID5066_START20_SIZE1_FT_0_1_4_CLASS181,mv_TID5063_START5_SIZE2_FT_0_5_CLASS181,mv_TID5066_START15_SIZE1_FT_0_CLASS181,mv_TID5067_START0_SIZE1_FT_0_1_4_CLASS181,mv_TID5070_START6_SIZE2_FT_0_1_4_CLASS181,mv_TID5074_START18_SIZE1_FT_0_CLASS181,mv_TID5062_START3_SIZE1_FT_0_1_4_5_CLASS181,mv_TID5074_START9_SIZE1_FT_0_1_CLASS181,mv_TID5067_START3_SIZE2_FT_0_4_CLASS181,mv_TID5066_START22_SIZE1_FT_0_1_4_5_7_CLASS181,mv_TID5069_START3_SIZE1_FT_1_4_CLASS181,mv_TID5066_START14_SIZE1_FT_0_CLASS181,mv_TID5070_START12_SIZE1_FT_0_1_CLASS181,mv_TID5062_START1_SIZE2_FT_0_5_CLASS181,mv_TID5066_START5_SIZE5_FT_0_5_CLASS181,mv_TID5067_START1_SIZE2_FT_0_1_4_5_7_CLASS181,mv_TID5062_START4_SIZE1_FT_0_1_4_5_CLASS181,mv_TID5067_START5_SIZE3_FT_0_CLASS181,mv_TID5066_START3_SIZE2_FT_0_5_CLASS181,mv_TID5069_START0_SIZE1_FT_0_1_CLASS181,mv_TID5066_START19_SIZE1_FT_1_4_5_CLASS181,mv_TID5062_START12_SIZE3_FT_0_4_5_CLASS181,mv_TID5063_START2_SIZE1_FT_0_4_5_CLASS181,mv_TID5071_START5_SIZE1_FT_0_1_CLASS181,mv_TID5062_START9_SIZE1_FT_0_6_CLASS181,mv_TID5066_START18_SIZE1_FT_1_2_4_5_CLASS181,mv_TID5066_START21_SIZE1_FT_0_4_5_CLASS181,mv_TID5066_START0_SIZE1_FT_0_1_4_5_7_CLASS181,mv_TID5074_START17_SIZE1_FT_1_4_5_CLASS181,mv_TID5071_START12_SIZE3_FT_0_CLASS181,mv_TID5062_START5_SIZE1_FT_1_4_CLASS181,mv_TID5071_START20_SIZE1_FT_0_4_CLASS181,mv_TID5074_START2_SIZE1_FT_1_4_CLASS181,mv_TID5074_START14_SIZE1_FT_0_4_5_CLASS181,mv_TID5066_START1_SIZE2_FT_0_5_CLASS181,mv_TID5069_START1_SIZE1_FT_0_1_CLASS181,mv_TID5063_START0_SIZE1_FT_0_4_CLASS181,mv_TID5070_START19_SIZE1_FT_0_1_4_5_CLASS181,mv_TID5071_START2_SIZE2_FT_0_CLASS181,mv_TID5071_START17_SIZE1_FT_0_1_4_CLASS181,mv_TID5074_START1_SIZE1_FT_1_4_CLASS181,mv_TID5063_START1_SIZE1_FT_0_4_5_CLASS181,mv_TID5066_START13_SIZE1_FT_0_1_CLASS181,mv_TID5063_START15_SIZE1_FT_1_4_5_CLASS181,mv_TID5071_START8_SIZE1_FT_0_1_CLASS181,mv_TID5062_START8_SIZE1_FT_0_4_5_CLASS181,mv_TID5071_START27_SIZE1_FT_0_CLASS181,mv_TID5067_START8_SIZE3_FT_0_1_CLASS181,mv_TID5074_START19_SIZE3_FT_0_4_CLASS181,mv_TID5070_START18_SIZE1_FT_0_1_CLASS181,mv_TID5070_START8_SIZE1_FT_0_1_CLASS181,mv_TID5071_START25_SIZE1_FT_0_1_CLASS181,mv_TID5074_START22_SIZE1_FT_0_CLASS181,mv_TID5062_START7_SIZE1_FT_0_1_CLASS181,mv_TID5066_START16_SIZE2_FT_0_CLASS181,mv_TID5070_START2_SIZE2_FT_0_1_CLASS181,mv_TID5071_START26_SIZE1_FT_0_CLASS181,mv_TID5063_START11_SIZE2_FT_0_1_5_CLASS181,mv_TID5070_START5_SIZE1_FT_1_4_CLASS181,mv_TID5069_START2_SIZE1_FT_0_1_4_CLASS181,mv_TID5071_START0_SIZE2_FT_0_1_4_5_7_CLASS181,mv_TID5070_START1_SIZE1_FT_0_4_CLASS181,mv_TID5063_START8_SIZE3_FT_0_4_5_CLASS181,mv_TID5062_START0_SIZE1_FT_0_4_CLASS181,mv_TID5066_START10_SIZE1_FT_0_4_5_CLASS181,mv_TID5062_START6_SIZE1_FT_0_1_4_5_7_CLASS181,mv_TID5069_START7_SIZE1_FT_0_1_CLASS181,mv_TID5069_START8_SIZE1_FT_0_CLASS181,mv_TID5062_START11_SIZE1_FT_0_CLASS181,mv_TID5071_START10_SIZE2_FT_0_5_CLASS181,mv_TID5070_START13_SIZE1_FT_0_1_4_5_7_CLASS181,mv_TID5074_START10_SIZE3_FT_0_CLASS181,mv_TID5071_START9_SIZE1_FT_0_1_4_5_7_CLASS181,mv_TID5071_START6_SIZE1_FT_0_1_4_5_CLASS181,tid,label
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2277,"84"
2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2278,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2279,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2280,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2281,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2283,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2284,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2285,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2286,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2289,"84"
