mv_TID15466_START0_SIZE1_FT_0_1_3_4_5_6_CLASS553,mv_TID15455_START2_SIZE1_FT_0_CLASS553,mv_TID15459_START1_SIZE1_FT_0_1_3_4_5_6_CLASS553,mv_TID15466_START1_SIZE1_FT_0_1_CLASS553,mv_TID15467_START5_SIZE1_FT_0_1_3_4_5_6_CLASS553,mv_TID15480_START16_SIZE2_FT_0_CLASS553,mv_TID15480_START11_SIZE1_FT_0_1_CLASS553,mv_TID15459_START4_SIZE1_FT_0_1_3_4_5_6_CLASS553,mv_TID15459_START5_SIZE1_FT_0_CLASS553,mv_TID15455_START8_SIZE1_FT_0_CLASS553,mv_TID15480_START8_SIZE1_FT_0_1_3_4_5_6_CLASS553,mv_TID15456_START7_SIZE2_FT_0_CLASS553,mv_TID15466_START7_SIZE1_FT_0_1_3_4_5_6_CLASS553,mv_TID15480_START5_SIZE1_FT_0_CLASS553,mv_TID15482_START3_SIZE1_FT_0_7_CLASS553,mv_TID15458_START3_SIZE1_FT_0_1_3_4_5_6_CLASS553,mv_TID15453_START2_SIZE1_FT_0_CLASS553,mv_TID15467_START6_SIZE1_FT_0_1_3_4_5_6_CLASS553,mv_TID15467_START1_SIZE1_FT_0_CLASS553,mv_TID15455_START6_SIZE2_FT_0_1_CLASS553,mv_TID15459_START0_SIZE1_FT_0_1_3_4_5_6_CLASS553,mv_TID15466_START2_SIZE2_FT_0_CLASS553,mv_TID15480_START10_SIZE1_FT_0_CLASS553,mv_TID15458_START0_SIZE1_FT_0_1_3_4_5_6_CLASS553,mv_TID15466_START10_SIZE1_FT_0_CLASS553,mv_TID15453_START6_SIZE2_FT_0_CLASS553,mv_TID15480_START12_SIZE2_FT_0_CLASS553,mv_TID15482_START4_SIZE1_FT_0_7_CLASS553,mv_TID15458_START12_SIZE1_FT_0_CLASS553,mv_TID15466_START6_SIZE1_FT_0_1_3_4_5_6_CLASS553,mv_TID15455_START11_SIZE2_FT_0_CLASS553,mv_TID15458_START13_SIZE1_FT_0_CLASS553,mv_TID15466_START5_SIZE1_FT_0_6_CLASS553,mv_TID15480_START14_SIZE1_FT_0_1_5_CLASS553,mv_TID15453_START1_SIZE1_FT_0_1_3_4_5_6_CLASS553,mv_TID15453_START3_SIZE1_FT_0_CLASS553,mv_TID15458_START9_SIZE1_FT_0_1_3_4_5_7_CLASS553,mv_TID15480_START4_SIZE1_FT_0_1_3_4_5_6_CLASS553,mv_TID15458_START8_SIZE1_FT_0_CLASS553,mv_TID15482_START0_SIZE1_FT_0_CLASS553,mv_TID15455_START4_SIZE1_FT_0_1_CLASS553,mv_TID15482_START5_SIZE1_FT_0_7_CLASS553,mv_TID15456_START2_SIZE1_FT_0_CLASS553,mv_TID15467_START7_SIZE1_FT_0_CLASS553,mv_TID15466_START4_SIZE1_FT_0_CLASS553,mv_TID15466_START11_SIZE1_FT_0_CLASS553,mv_TID15467_START2_SIZE1_FT_0_CLASS553,mv_TID15456_START0_SIZE1_FT_0_1_3_4_5_6_CLASS553,mv_TID15482_START9_SIZE1_FT_0_CLASS553,mv_TID15456_START10_SIZE1_FT_0_1_3_4_5_6_CLASS553,mv_TID15459_START9_SIZE1_FT_0_1_3_4_5_6_CLASS553,mv_TID15458_START7_SIZE1_FT_0_1_3_4_5_6_CLASS553,mv_TID15456_START5_SIZE1_FT_0_CLASS553,mv_TID15467_START8_SIZE1_FT_0_CLASS553,mv_TID15456_START3_SIZE1_FT_0_1_3_4_5_6_CLASS553,mv_TID15458_START11_SIZE1_FT_0_3_4_5_6_CLASS553,mv_TID15459_START2_SIZE1_FT_0_CLASS553,mv_TID15455_START1_SIZE1_FT_0_1_3_4_5_6_CLASS553,mv_TID15459_START6_SIZE2_FT_0_CLASS553,mv_TID15480_START2_SIZE1_FT_0_CLASS553,mv_TID15480_START6_SIZE1_FT_0_1_CLASS553,mv_TID15455_START5_SIZE1_FT_0_1_3_4_5_6_CLASS553,mv_TID15480_START3_SIZE1_FT_0_CLASS553,mv_TID15467_START3_SIZE1_FT_0_1_3_4_5_6_CLASS553,mv_TID15466_START8_SIZE1_FT_0_CLASS553,mv_TID15467_START0_SIZE1_FT_0_1_3_4_5_6_CLASS553,mv_TID15480_START15_SIZE1_FT_0_CLASS553,mv_TID15453_START9_SIZE2_FT_0_CLASS553,mv_TID15482_START6_SIZE1_FT_0_1_3_4_5_6_CLASS553,mv_TID15458_START4_SIZE2_FT_0_CLASS553,mv_TID15456_START11_SIZE1_FT_0_CLASS553,mv_TID15467_START4_SIZE1_FT_0_1_CLASS553,mv_TID15459_START3_SIZE1_FT_0_CLASS553,mv_TID15459_START8_SIZE1_FT_0_1_3_4_5_6_CLASS553,mv_TID15480_START0_SIZE2_FT_0_CLASS553,mv_TID15456_START4_SIZE1_FT_0_1_CLASS553,mv_TID15482_START8_SIZE1_FT_0_CLASS553,mv_TID15456_START9_SIZE1_FT_0_1_3_4_5_6_CLASS553,mv_TID15467_START9_SIZE1_FT_0_CLASS553,mv_TID15480_START7_SIZE1_FT_0_CLASS553,mv_TID15456_START6_SIZE1_FT_0_1_3_4_5_6_CLASS553,mv_TID15480_START9_SIZE1_FT_0_1_3_4_5_6_CLASS553,mv_TID15458_START1_SIZE1_FT_0_1_3_4_5_6_CLASS553,mv_TID15466_START9_SIZE1_FT_0_1_6_CLASS553,mv_TID15453_START0_SIZE1_FT_0_CLASS553,mv_TID15453_START11_SIZE1_FT_0_1_5_CLASS553,mv_TID15453_START4_SIZE2_FT_0_CLASS553,mv_TID15458_START6_SIZE1_FT_0_CLASS553,mv_TID15455_START0_SIZE1_FT_0_1_3_4_5_6_CLASS553,mv_TID15466_START12_SIZE1_FT_0_1_5_CLASS553,mv_TID15453_START8_SIZE1_FT_0_6_CLASS553,mv_TID15455_START9_SIZE1_FT_0_1_CLASS553,mv_TID15458_START10_SIZE1_FT_0_CLASS553,mv_TID15455_START3_SIZE1_FT_0_1_3_4_5_6_CLASS553,tid,label
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2277,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2278,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2279,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2280,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2281,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2283,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2284,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2285,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2286,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2289,"84"
