mv_TID18445_START2_SIZE3_FT_0_CLASS662,mv_TID18473_START8_SIZE1_FT_0_3_4_5_CLASS662,mv_TID18450_START1_SIZE1_FT_0_3_4_5_6_CLASS662,mv_TID18446_START5_SIZE1_FT_6_CLASS662,mv_TID18450_START0_SIZE1_FT_0_1_3_4_5_6_CLASS662,mv_TID18445_START8_SIZE3_FT_0_CLASS662,mv_TID18450_START4_SIZE1_FT_0_CLASS662,mv_TID18451_START0_SIZE1_FT_0_5_CLASS662,mv_TID18445_START1_SIZE1_FT_0_1_3_4_5_6_CLASS662,mv_TID18445_START5_SIZE1_FT_0_CLASS662,mv_TID18450_START7_SIZE2_FT_0_CLASS662,mv_TID18451_START3_SIZE2_FT_0_5_CLASS662,mv_TID18446_START9_SIZE1_FT_0_1_3_4_5_CLASS662,mv_TID18446_START3_SIZE1_FT_0_6_CLASS662,mv_TID18473_START9_SIZE1_FT_0_1_3_4_5_6_CLASS662,mv_TID18473_START3_SIZE1_FT_0_1_3_4_5_CLASS662,mv_TID18473_START4_SIZE1_FT_0_CLASS662,mv_TID18451_START9_SIZE1_FT_0_CLASS662,mv_TID18482_START3_SIZE1_FT_0_1_CLASS662,mv_TID18451_START7_SIZE1_FT_0_1_CLASS662,mv_TID18446_START0_SIZE2_FT_0_CLASS662,mv_TID18453_START10_SIZE1_FT_0_5_CLASS662,mv_TID18445_START7_SIZE1_FT_0_2_5_CLASS662,mv_TID18473_START1_SIZE2_FT_0_CLASS662,mv_TID18451_START10_SIZE1_FT_0_CLASS662,mv_TID18453_START9_SIZE1_FT_0_1_CLASS662,mv_TID18482_START1_SIZE1_FT_0_1_3_4_5_CLASS662,mv_TID18451_START6_SIZE1_FT_4_CLASS662,mv_TID18453_START8_SIZE1_FT_0_1_3_4_5_6_CLASS662,mv_TID18450_START2_SIZE1_FT_0_3_4_5_6_CLASS662,mv_TID18446_START8_SIZE1_FT_0_5_CLASS662,mv_TID18482_START6_SIZE1_FT_0_CLASS662,mv_TID18451_START8_SIZE1_FT_0_1_CLASS662,mv_TID18453_START3_SIZE2_FT_0_CLASS662,mv_TID18451_START13_SIZE2_FT_0_CLASS662,mv_TID18450_START5_SIZE2_FT_0_CLASS662,mv_TID18482_START7_SIZE2_FT_0_CLASS662,mv_TID18446_START2_SIZE1_FT_0_CLASS662,mv_TID18482_START4_SIZE1_FT_0_5_CLASS662,mv_TID18446_START6_SIZE2_FT_0_CLASS662,mv_TID18482_START2_SIZE1_FT_0_3_4_5_CLASS662,mv_TID18453_START2_SIZE1_FT_0_1_CLASS662,mv_TID18446_START11_SIZE1_FT_0_1_2_CLASS662,mv_TID18473_START6_SIZE2_FT_0_CLASS662,mv_TID18453_START5_SIZE3_FT_0_CLASS662,mv_TID18482_START10_SIZE2_FT_0_5_CLASS662,mv_TID18446_START13_SIZE1_FT_0_2_6_CLASS662,mv_TID18450_START9_SIZE1_FT_0_1_3_4_5_CLASS662,mv_TID18451_START1_SIZE2_FT_0_6_CLASS662,mv_TID18446_START12_SIZE1_FT_0_1_CLASS662,mv_TID18450_START3_SIZE1_FT_0_3_4_5_6_CLASS662,mv_TID18453_START0_SIZE2_FT_0_CLASS662,mv_TID18473_START5_SIZE1_FT_0_CLASS662,mv_TID18473_START0_SIZE1_FT_0_CLASS662,mv_TID18451_START15_SIZE2_FT_0_1_3_4_5_CLASS662,mv_TID18451_START11_SIZE2_FT_0_5_CLASS662,mv_TID18482_START5_SIZE1_FT_0_3_4_5_CLASS662,mv_TID18446_START4_SIZE1_FT_0_1_3_4_5_CLASS662,mv_TID18446_START10_SIZE1_FT_0_1_CLASS662,mv_TID18446_START14_SIZE1_FT_0_3_4_5_6_CLASS662,mv_TID18445_START11_SIZE2_FT_0_CLASS662,mv_TID18482_START9_SIZE1_FT_0_CLASS662,mv_TID18445_START0_SIZE1_FT_0_1_3_4_5_6_CLASS662,tid,label
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2277,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2278,"84"
2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2279,"84"
2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2280,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2281,"84"
2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2283,"84"
2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2284,"84"
2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2285,"84"
2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2286,"84"
2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2289,"84"
