mv_TID21405_START11_SIZE1_FT_0_CLASS768,mv_TID21372_START1_SIZE4_FT_0_CLASS768,mv_TID21379_START12_SIZE1_FT_0_CLASS768,mv_TID21379_START8_SIZE1_FT_0_CLASS768,mv_TID21370_START48_SIZE6_FT_0_CLASS768,mv_TID21369_START56_SIZE6_FT_0_CLASS768,mv_TID21368_START29_SIZE2_FT_0_1_CLASS768,mv_TID21405_START4_SIZE4_FT_0_CLASS768,mv_TID21374_START47_SIZE2_FT_0_1_CLASS768,mv_TID21381_START50_SIZE6_FT_0_CLASS768,mv_TID21381_START56_SIZE1_FT_0_7_CLASS768,mv_TID21370_START26_SIZE1_FT_0_CLASS768,mv_TID21369_START23_SIZE1_FT_0_CLASS768,mv_TID21370_START14_SIZE6_FT_0_CLASS768,mv_TID21379_START7_SIZE1_FT_0_CLASS768,mv_TID21372_START0_SIZE1_FT_0_CLASS768,mv_TID21369_START24_SIZE6_FT_0_CLASS768,mv_TID21372_START16_SIZE5_FT_0_CLASS768,mv_TID21380_START10_SIZE3_FT_0_CLASS768,mv_TID21381_START9_SIZE2_FT_0_CLASS768,mv_TID21381_START37_SIZE6_FT_0_CLASS768,mv_TID21369_START10_SIZE6_FT_0_CLASS768,mv_TID21393_START7_SIZE1_FT_0_CLASS768,mv_TID21370_START47_SIZE1_FT_0_CLASS768,mv_TID21405_START8_SIZE2_FT_0_CLASS768,mv_TID21393_START1_SIZE1_FT_0_CLASS768,mv_TID21368_START19_SIZE5_FT_0_CLASS768,mv_TID21381_START30_SIZE1_FT_0_CLASS768,mv_TID21370_START28_SIZE6_FT_0_CLASS768,mv_TID21372_START5_SIZE3_FT_0_CLASS768,mv_TID21381_START63_SIZE1_FT_0_CLASS768,mv_TID21380_START18_SIZE5_FT_0_CLASS768,mv_TID21368_START13_SIZE1_FT_0_CLASS768,mv_TID21405_START10_SIZE1_FT_0_7_CLASS768,mv_TID21369_START48_SIZE1_FT_0_CLASS768,mv_TID21374_START10_SIZE1_FT_0_CLASS768,mv_TID21368_START41_SIZE5_FT_0_CLASS768,mv_TID21393_START6_SIZE1_FT_0_1_CLASS768,mv_TID21368_START12_SIZE1_FT_0_CLASS768,mv_TID21369_START36_SIZE6_FT_0_CLASS768,mv_TID21379_START5_SIZE2_FT_0_CLASS768,mv_TID21381_START24_SIZE6_FT_0_CLASS768,mv_TID21368_START36_SIZE4_FT_0_CLASS768,mv_TID21369_START42_SIZE6_FT_0_CLASS768,mv_TID21374_START0_SIZE4_FT_0_CLASS768,mv_TID21368_START24_SIZE5_FT_0_CLASS768,mv_TID21370_START7_SIZE6_FT_0_CLASS768,mv_TID21369_START0_SIZE3_FT_0_CLASS768,mv_TID21380_START27_SIZE3_FT_0_CLASS768,mv_TID21380_START4_SIZE1_FT_0_CLASS768,mv_TID21372_START21_SIZE5_FT_0_CLASS768,mv_TID21372_START26_SIZE1_FT_0_CLASS768,mv_TID21370_START13_SIZE1_FT_0_CLASS768,mv_TID21374_START32_SIZE6_FT_0_CLASS768,mv_TID21374_START50_SIZE6_FT_0_CLASS768,mv_TID21380_START0_SIZE4_FT_0_CLASS768,mv_TID21405_START12_SIZE1_FT_0_CLASS768,mv_TID21368_START1_SIZE5_FT_0_CLASS768,mv_TID21372_START8_SIZE1_FT_0_CLASS768,mv_TID21374_START44_SIZE3_FT_0_CLASS768,mv_TID21393_START0_SIZE1_FT_0_CLASS768,mv_TID21368_START11_SIZE1_FT_0_CLASS768,mv_TID21374_START24_SIZE6_FT_0_CLASS768,mv_TID21370_START35_SIZE6_FT_0_CLASS768,mv_TID21381_START17_SIZE5_FT_0_CLASS768,mv_TID21379_START3_SIZE1_FT_0_CLASS768,mv_TID21393_START8_SIZE2_FT_0_CLASS768,mv_TID21370_START20_SIZE6_FT_0_CLASS768,mv_TID21369_START17_SIZE6_FT_0_CLASS768,mv_TID21381_START0_SIZE1_FT_0_CLASS768,mv_TID21370_START60_SIZE5_FT_0_CLASS768,mv_TID21381_START11_SIZE6_FT_0_CLASS768,mv_TID21381_START44_SIZE6_FT_0_CLASS768,mv_TID21379_START4_SIZE1_FT_0_CLASS768,mv_TID21381_START22_SIZE1_FT_0_CLASS768,mv_TID21369_START62_SIZE1_FT_0_CLASS768,mv_TID21374_START17_SIZE1_FT_0_CLASS768,mv_TID21370_START65_SIZE1_FT_0_CLASS768,mv_TID21380_START23_SIZE4_FT_0_CLASS768,mv_TID21379_START0_SIZE3_FT_0_1_CLASS768,mv_TID21381_START23_SIZE1_FT_0_CLASS768,mv_TID21370_START41_SIZE6_FT_0_CLASS768,mv_TID21368_START14_SIZE1_FT_0_CLASS768,mv_TID21405_START0_SIZE4_FT_0_CLASS768,mv_TID21372_START32_SIZE5_FT_0_CLASS768,mv_TID21372_START15_SIZE1_FT_0_CLASS768,mv_TID21369_START50_SIZE6_FT_0_CLASS768,mv_TID21381_START31_SIZE6_FT_0_CLASS768,mv_TID21369_START16_SIZE1_FT_0_CLASS768,mv_TID21370_START54_SIZE6_FT_0_CLASS768,mv_TID21380_START13_SIZE5_FT_0_CLASS768,mv_TID21372_START14_SIZE1_FT_0_CLASS768,mv_TID21380_START30_SIZE1_FT_0_CLASS768,mv_TID21368_START31_SIZE5_FT_0_CLASS768,mv_TID21368_START46_SIZE5_FT_0_1_CLASS768,mv_TID21374_START18_SIZE6_FT_0_CLASS768,mv_TID21370_START34_SIZE1_FT_0_CLASS768,mv_TID21369_START9_SIZE1_FT_0_CLASS768,mv_TID21368_START15_SIZE4_FT_0_CLASS768,mv_TID21374_START56_SIZE4_FT_0_CLASS768,mv_TID21369_START49_SIZE1_FT_0_1_CLASS768,mv_TID21368_START40_SIZE1_FT_0_CLASS768,mv_TID21381_START57_SIZE6_FT_0_CLASS768,mv_TID21370_START0_SIZE6_FT_0_CLASS768,mv_TID21379_START9_SIZE3_FT_0_CLASS768,mv_TID21381_START7_SIZE2_FT_0_CLASS768,mv_TID21374_START4_SIZE6_FT_0_CLASS768,mv_TID21374_START38_SIZE6_FT_0_CLASS768,mv_TID21369_START30_SIZE6_FT_0_CLASS768,mv_TID21372_START9_SIZE5_FT_0_CLASS768,mv_TID21370_START6_SIZE1_FT_0_5_CLASS768,mv_TID21393_START2_SIZE4_FT_0_CLASS768,mv_TID21372_START27_SIZE5_FT_0_CLASS768,mv_TID21374_START30_SIZE2_FT_0_1_CLASS768,mv_TID21380_START5_SIZE5_FT_0_CLASS768,mv_TID21374_START11_SIZE6_FT_0_CLASS768,mv_TID21368_START6_SIZE5_FT_0_CLASS768,mv_TID21381_START1_SIZE6_FT_0_CLASS768,mv_TID21369_START3_SIZE6_FT_0_CLASS768,mv_TID21368_START0_SIZE1_FT_0_CLASS768,mv_TID21381_START43_SIZE1_FT_0_CLASS768,mv_TID21370_START27_SIZE1_FT_0_CLASS768,tid,label
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2277,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2278,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2279,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2280,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2281,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2283,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2284,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2285,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2286,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2289,"84"
